Start station,Start time,End station,End time
260,2016-12-01 06:00:09 +0100,260,2016-12-01 06:00:32 +0100
191,2016-12-01 06:00:13 +0100,237,2016-12-01 06:14:20 +0100
260,2016-12-01 06:00:48 +0100,302,2016-12-01 06:07:01 +0100
232,2016-12-01 06:01:52 +0100,292,2016-12-01 06:05:47 +0100
208,2016-12-01 06:02:56 +0100,272,2016-12-01 06:05:27 +0100
190,2016-12-01 06:04:38 +0100,189,2016-12-01 06:10:34 +0100
206,2016-12-01 06:05:15 +0100,301,2016-12-01 06:10:11 +0100
268,2016-12-01 06:05:36 +0100,181,2016-12-01 11:57:52 +0100
262,2016-12-01 06:06:23 +0100,243,2016-12-01 06:11:08 +0100
306,2016-12-01 06:06:54 +0100,247,2016-12-01 06:11:52 +0100
274,2016-12-01 06:07:51 +0100,247,2016-12-01 06:12:34 +0100
267,2016-12-01 06:09:30 +0100,185,2016-12-01 06:13:06 +0100
161,2016-12-01 06:09:31 +0100,178,2016-12-01 06:17:33 +0100
297,2016-12-01 06:10:00 +0100,274,2016-12-01 06:13:18 +0100
227,2016-12-01 06:11:47 +0100,195,2016-12-01 06:18:43 +0100
176,2016-12-01 06:12:42 +0100,247,2016-12-01 06:22:50 +0100
203,2016-12-01 06:16:48 +0100,163,2016-12-01 06:26:41 +0100
242,2016-12-01 06:16:54 +0100,301,2016-12-01 06:27:21 +0100
281,2016-12-01 06:17:16 +0100,229,2016-12-01 06:22:55 +0100
232,2016-12-01 06:17:26 +0100,253,2016-12-01 06:21:47 +0100
190,2016-12-01 06:17:55 +0100,287,2016-12-01 06:20:26 +0100
219,2016-12-01 06:25:08 +0100,241,2016-12-01 06:28:45 +0100
214,2016-12-01 06:28:16 +0100,210,2016-12-01 06:32:48 +0100
290,2016-12-01 06:29:23 +0100,195,2016-12-01 06:35:09 +0100
252,2016-12-01 06:31:21 +0100,209,2016-12-01 06:47:13 +0100
306,2016-12-01 06:31:39 +0100,186,2016-12-01 06:33:24 +0100
229,2016-12-01 06:31:58 +0100,229,2016-12-01 06:47:42 +0100
157,2016-12-01 06:32:11 +0100,163,2016-12-01 06:34:31 +0100
266,2016-12-01 06:32:34 +0100,281,2016-12-01 07:22:29 +0100
191,2016-12-01 06:34:03 +0100,279,2016-12-01 06:40:05 +0100
232,2016-12-01 06:34:12 +0100,243,2016-12-01 06:49:29 +0100
